x;y;z;u;v;nx;ny;nz;tx;ty;tz;bx;by;bz;column;row
-420.8895;1955.3212;1732.2922;0.3448;0.1579;0.2092;-0.9779;0.0000;0.9777;0.2092;-0.0172;0.0168;0.0036;0.9999;10;3
-329.0987;1972.7292;1730.8599;0.3793;0.1579;0.1633;-0.9866;0.0000;0.9865;0.1633;-0.0134;0.0132;0.0022;0.9999;11;3
-236.0111;1985.9053;1729.7757;0.4138;0.1579;0.1169;-0.9931;0.0001;0.9931;0.1169;-0.0096;0.0095;0.0012;1.0000;12;3
-141.9853;1994.7467;1729.0482;0.4483;0.1579;0.0703;-0.9975;0.0001;0.9975;0.0703;-0.0058;0.0058;0.0005;1.0000;13;3
-47.3920;1999.1848;1728.6830;0.4828;0.1579;0.0234;-0.9997;0.0001;0.9997;0.0234;-0.0019;0.0019;0.0001;1.0000;14;3
47.3914;1999.1852;1728.6830;0.5172;0.1579;-0.0234;-0.9997;0.0001;0.9997;-0.0234;0.0019;-0.0019;0.0001;1.0000;15;3
141.9848;1994.7479;1729.0482;0.5517;0.1579;-0.0703;-0.9975;0.0001;0.9975;-0.0703;0.0058;-0.0058;0.0005;1.0000;16;3
236.0107;1985.9071;1729.7758;0.5862;0.1579;-0.1169;-0.9931;0.0001;0.9931;-0.1169;0.0096;-0.0095;0.0012;1.0000;17;3
329.0985;1972.7315;1730.8600;0.6207;0.1579;-0.1633;-0.9866;0.0000;0.9865;-0.1633;0.0134;-0.0132;0.0022;0.9999;18;3
420.8896;1955.3238;1732.2923;0.6552;0.1579;-0.2092;-0.9779;0.0000;0.9777;-0.2092;0.0172;-0.0168;0.0036;0.9999;19;3
511.0417;1933.8211;1734.0615;0.6897;0.1579;-0.2546;-0.9670;0.0000;0.9668;-0.2546;0.0209;-0.0202;0.0054;0.9998;20;3
599.2336;1908.3949;1736.1533;0.7241;0.1579;-0.2992;-0.9542;0.0000;0.9539;-0.2991;0.0246;-0.0235;0.0074;0.9997;21;3
685.1703;1879.2508;1738.5507;0.7586;0.1579;-0.3428;-0.9394;0.0000;0.9390;-0.3427;0.0282;-0.0265;0.0097;0.9996;22;3
768.5871;1846.6289;1741.2339;0.7931;0.1579;-0.3852;-0.9228;0.0000;0.9224;-0.3850;0.0317;-0.0292;0.0122;0.9995;23;3
849.2549;1810.8034;1744.1802;0.8276;0.1579;-0.4261;-0.9047;-0.0000;0.9041;-0.4259;0.0350;-0.0317;0.0149;0.9994;24;3
926.9844;1772.0829;1747.3640;0.8621;0.1579;-0.4652;-0.8852;-0.0000;0.8846;-0.4648;0.0382;-0.0338;0.0178;0.9993;25;3
1001.6312;1730.8104;1750.7570;0.8966;0.1579;-0.5020;-0.8649;0.0000;0.8641;-0.5016;0.0412;-0.0357;0.0207;0.9991;26;3
1073.1003;1687.3631;1754.3280;0.9310;0.1579;-0.5362;-0.8441;0.0000;0.8433;-0.5357;0.0440;-0.0372;0.0236;0.9990;27;3
1141.3508;1642.1523;1758.0431;0.9655;0.1579;-0.5674;-0.8234;0.0000;0.8225;-0.5668;0.0466;-0.0383;0.0265;0.9989;28;3
1206.4008;1595.6241;1761.8652;1.0000;0.1579;-0.5951;-0.8036;0.0001;0.8027;-0.5944;0.0488;-0.0392;0.0291;0.9988;29;3
-1206.4016;1595.6157;1682.4936;0.0000;0.2105;0.5952;-0.8036;0.0001;0.8019;0.5939;-0.0651;0.0523;0.0388;0.9979;0;4
-1141.3508;1642.1484;1677.3943;0.0345;0.2105;0.5675;-0.8234;0.0000;0.8218;0.5664;-0.0621;0.0511;0.0353;0.9981;1;4
-1073.0997;1687.3617;1672.4387;0.0690;0.2105;0.5362;-0.8441;0.0000;0.8426;0.5353;-0.0587;0.0495;0.0315;0.9983;2;4
-1001.6303;1730.8102;1667.6759;0.1034;0.2105;0.5020;-0.8649;0.0000;0.8636;0.5012;-0.0549;0.0475;0.0276;0.9985;3;4
-926.9834;1772.0828;1663.1511;0.1379;0.2105;0.4651;-0.8852;-0.0000;0.8841;0.4645;-0.0509;0.0451;0.0237;0.9987;4;4
-849.2539;1810.8027;1658.9058;0.1724;0.2105;0.4261;-0.9047;-0.0000;0.9037;0.4256;-0.0467;0.0422;0.0199;0.9989;5;4
-768.5863;1846.6272;1654.9776;0.2069;0.2105;0.3852;-0.9228;-0.0000;0.9220;0.3849;-0.0422;0.0389;0.0163;0.9991;6;4
-685.1697;1879.2480;1651.4004;0.2414;0.2105;0.3428;-0.9394;-0.0000;0.9387;0.3426;-0.0376;0.0353;0.0129;0.9993;7;4
-599.2333;1908.3909;1648.2045;0.2759;0.2105;0.2992;-0.9542;0.0000;0.9537;0.2990;-0.0328;0.0313;0.0098;0.9995;8;4
-511.0416;1933.8161;1645.4161;0.3103;0.2105;0.2546;-0.9670;0.0000;0.9667;0.2545;-0.0279;0.0270;0.0071;0.9996;9;4
-420.8898;1955.3181;1643.0580;0.3448;0.2105;0.2092;-0.9779;0.0000;0.9776;0.2092;-0.0229;0.0224;0.0048;0.9997;10;4
-329.0989;1972.7253;1641.1488;0.3793;0.2105;0.1633;-0.9866;0.0000;0.9864;0.1633;-0.0179;0.0177;0.0030;0.9998;11;4
-236.0112;1985.9009;1639.7038;0.4138;0.2105;0.1169;-0.9931;0.0000;0.9931;0.1169;-0.0128;0.0127;0.0015;0.9999;12;4
-141.9854;1994.7418;1638.7342;0.4483;0.2105;0.0703;-0.9975;0.0000;0.9975;0.0703;-0.0077;0.0077;0.0006;1.0000;13;4
-47.3920;1999.1796;1638.2475;0.4828;0.2105;0.0234;-0.9997;0.0000;0.9997;0.0234;-0.0026;0.0026;0.0001;1.0000;14;4
47.3914;1999.1800;1638.2475;0.5172;0.2105;-0.0234;-0.9997;0.0000;0.9997;-0.0234;0.0026;-0.0026;0.0001;1.0000;15;4
141.9848;1994.7430;1638.7343;0.5517;0.2105;-0.0703;-0.9975;0.0000;0.9975;-0.0702;0.0077;-0.0077;0.0006;1.0000;16;4
236.0108;1985.9026;1639.7039;0.5862;0.2105;-0.1169;-0.9931;0.0000;0.9931;-0.1169;0.0128;-0.0127;0.0015;0.9999;17;4
329.0987;1972.7276;1641.1490;0.6207;0.2105;-0.1633;-0.9866;0.0000;0.9864;-0.1633;0.0179;-0.0177;0.0030;0.9998;18;4
420.8898;1955.3207;1643.0581;0.6552;0.2105;-0.2092;-0.9779;0.0000;0.9776;-0.2092;0.0229;-0.0224;0.0048;0.9997;19;4
511.0419;1933.8188;1645.4163;0.6897;0.2105;-0.2546;-0.9670;0.0000;0.9667;-0.2545;0.0279;-0.0270;0.0071;0.9996;20;4
599.2339;1908.3935;1648.2046;0.7241;0.2105;-0.2992;-0.9542;0.0000;0.9537;-0.2990;0.0328;-0.0313;0.0098;0.9995;21;4
685.1706;1879.2502;1651.4005;0.7586;0.2105;-0.3428;-0.9394;-0.0000;0.9387;-0.3426;0.0376;-0.0353;0.0129;0.9993;22;4
768.5875;1846.6288;1654.9776;0.7931;0.2105;-0.3852;-0.9228;-0.0000;0.9220;-0.3849;0.0422;-0.0389;0.0163;0.9991;23;4
849.2552;1810.8037;1658.9058;0.8276;0.2105;-0.4261;-0.9047;-0.0000;0.9037;-0.4256;0.0467;-0.0422;0.0199;0.9989;24;4
926.9848;1772.0831;1663.1511;0.8621;0.2105;-0.4652;-0.8852;-0.0000;0.8841;-0.4646;0.0509;-0.0451;0.0237;0.9987;25;4
1001.6316;1730.8099;1667.6759;0.8966;0.2105;-0.5020;-0.8649;0.0000;0.8636;-0.5012;0.0549;-0.0475;0.0276;0.9985;26;4
1073.1006;1687.3611;1672.4387;0.9310;0.2105;-0.5363;-0.8441;0.0000;0.8426;-0.5353;0.0587;-0.0495;0.0315;0.9983;27;4
1141.3511;1642.1480;1677.3944;0.9655;0.2105;-0.5675;-0.8234;0.0000;0.8218;-0.5664;0.0621;-0.0511;0.0353;0.9981;28;4
1206.4011;1595.6164;1682.4939;1.0000;0.2105;-0.5952;-0.8036;0.0001;0.8019;-0.5939;0.0651;-0.0523;0.0388;0.9979;29;4
-1206.4022;1595.6082;1603.1219;0.0000;0.2632;0.5952;-0.8036;0.0001;0.8009;0.5932;-0.0813;0.0653;0.0484;0.9967;0;5
-1141.3513;1642.1445;1596.7452;0.0345;0.2632;0.5675;-0.8234;0.0000;0.8209;0.5658;-0.0775;0.0638;0.0440;0.9970;1;5
-1073.1002;1687.3603;1590.5489;0.0690;0.2632;0.5363;-0.8440;0.0000;0.8418;0.5348;-0.0733;0.0619;0.0393;0.9973;2;5
-1001.6308;1730.8104;1584.5943;0.1034;0.2632;0.5020;-0.8649;-0.0000;0.8628;0.5008;-0.0686;0.0594;0.0344;0.9976;3;5
-926.9839;1772.0838;1578.9377;0.1379;0.2632;0.4652;-0.8852;-0.0000;0.8834;0.4642;-0.0636;0.0563;0.0296;0.9980;4;5
-849.2544;1810.8039;1573.6308;0.1724;0.2632;0.4261;-0.9047;-0.0000;0.9031;0.4254;-0.0583;0.0528;0.0248;0.9983;5;5
-768.5867;1846.6283;1568.7207;0.2069;0.2632;0.3852;-0.9228;-0.0000;0.9215;0.3847;-0.0527;0.0487;0.0203;0.9986;6;5
-685.1701;1879.2485;1564.2496;0.2414;0.2632;0.3428;-0.9394;-0.0000;0.9384;0.3424;-0.0469;0.0441;0.0161;0.9989;7;5
-599.2336;1908.3908;1560.2551;0.2759;0.2632;0.2992;-0.9542;-0.0000;0.9534;0.2989;-0.0410;0.0391;0.0123;0.9992;8;5
-511.0419;1933.8152;1556.7702;0.3103;0.2632;0.2546;-0.9670;-0.0000;0.9665;0.2544;-0.0349;0.0337;0.0089;0.9994;9;5
-420.8901;1955.3164;1553.8230;0.3448;0.2632;0.2092;-0.9779;0.0000;0.9775;0.2091;-0.0287;0.0280;0.0060;0.9996;10;5
-329.0991;1972.7229;1551.4371;0.3793;0.2632;0.1633;-0.9866;0.0000;0.9863;0.1632;-0.0224;0.0221;0.0037;0.9997;11;5
-236.0114;1985.8979;1549.6312;0.4138;0.2632;0.1169;-0.9931;0.0000;0.9930;0.1169;-0.0160;0.0159;0.0019;0.9999;12;5
-141.9855;1994.7384;1548.4195;0.4483;0.2632;0.0703;-0.9975;0.0000;0.9975;0.0703;-0.0096;0.0096;0.0007;1.0000;13;5
-47.3921;1999.1760;1547.8113;0.4828;0.2632;0.0234;-0.9997;0.0000;0.9997;0.0234;-0.0032;0.0032;0.0001;1.0000;14;5
47.3914;1999.1764;1547.8113;0.5172;0.2632;-0.0234;-0.9997;0.0000;0.9997;-0.0234;0.0032;-0.0032;0.0001;1.0000;15;5
141.9849;1994.7396;1548.4196;0.5517;0.2632;-0.0702;-0.9975;0.0000;0.9975;-0.0702;0.0096;-0.0096;0.0007;1.0000;16;5
236.0109;1985.8997;1549.6313;0.5862;0.2632;-0.1169;-0.9931;0.0000;0.9930;-0.1169;0.0160;-0.0159;0.0019;0.9999;17;5
329.0989;1972.7252;1551.4373;0.6207;0.2632;-0.1633;-0.9866;0.0000;0.9863;-0.1632;0.0224;-0.0221;0.0037;0.9997;18;5
420.8901;1955.3190;1553.8232;0.6552;0.2632;-0.2092;-0.9779;0.0000;0.9775;-0.2091;0.0287;-0.0280;0.0060;0.9996;19;5
511.0422;1933.8179;1556.7704;0.6897;0.2632;-0.2546;-0.9670;-0.0000;0.9665;-0.2544;0.0349;-0.0337;0.0089;0.9994;20;5
599.2342;1908.3934;1560.2553;0.7241;0.2632;-0.2992;-0.9542;-0.0000;0.9534;-0.2990;0.0410;-0.0391;0.0123;0.9992;21;5
