x;y;z;u;v;column;row
-236.0115;1985.8971;1369.4835;0.4138;0.3684;12;7
-141.9856;1994.7369;1367.7875;0.4483;0.3684;13;7
-47.3921;1999.1740;1366.9362;0.4828;0.3684;14;7
47.3914;1999.1744;1366.9362;0.5172;0.3684;15;7
141.9850;1994.7380;1367.7875;0.5517;0.3684;16;7
236.0111;1985.8989;1369.4836;0.5862;0.3684;17;7
329.0991;1972.7256;1372.0113;0.6207;0.3684;18;7
420.8904;1955.3207;1375.3508;0.6552;0.3684;19;7
511.0426;1933.8211;1379.4761;0.6897;0.3684;20;7
599.2347;1908.3980;1384.3542;0.7241;0.3684;21;7
685.1715;1879.2567;1389.9457;0.7586;0.3684;22;7
768.5885;1846.6367;1396.2047;0.7931;0.3684;23;7
849.2563;1810.8119;1403.0788;0.8276;0.3684;24;7
926.9860;1772.0905;1410.5088;0.8621;0.3684;25;7
1001.6328;1730.8146;1418.4291;0.8966;0.3684;26;7
1073.1020;1687.3609;1426.7676;0.9310;0.3684;27;7
1141.3525;1642.1402;1435.4454;0.9655;0.3684;28;7
1206.4025;1595.5975;1444.3772;1.0000;0.3684;29;7
-1206.4034;1595.5925;1365.0037;0.0000;0.4211;0;8
-1141.3523;1642.1400;1354.7946;0.0345;0.4211;1;8
-1073.1011;1687.3635;1344.8761;0.0690;0.4211;2;8
-1001.6316;1730.8186;1335.3458;0.1034;0.4211;3;8
-926.9845;1772.0948;1326.2936;0.1379;0.4211;4;8
-849.2549;1810.8160;1317.8020;0.1724;0.4211;5;8
-768.5872;1846.6399;1309.9459;0.2069;0.4211;6;8
-685.1705;1879.2589;1302.7928;0.2414;0.4211;7;8
-599.2340;1908.3993;1296.4027;0.2759;0.4211;8;8
-511.0422;1933.8216;1290.8280;0.3103;0.4211;9;8
-420.8903;1955.3205;1286.1137;0.3448;0.4211;10;8
-329.0993;1972.7250;1282.2974;0.3793;0.4211;11;8
-236.0115;1985.8983;1279.4089;0.4138;0.4211;12;8
-141.9856;1994.7376;1277.4707;0.4483;0.4211;13;8
-47.3921;1999.1746;1276.4979;0.4828;0.4211;14;8
